parser_version,uploader_version,source_name,target_redcap_name,update_mode,key_field,notes
v1.0.0,v1.1.0,levofloxacin_mic,levofloxacin_mic,update,FALSE,
v1.0.0,v1.1.0,levofloxacin_interpretation_raw,levofloxacin_interpretation_raw,update,FALSE,
v1.0.0,v1.1.0,levofloxacin_interpretation,levofloxacin_interpretation,update,FALSE,
v1.0.0,v1.1.0,nitrofurantoin_mic,nitrofurantoin_mic,update,FALSE,
v1.0.0,v1.1.0,nitrofurantoin_interpretation_raw,nitrofurantoin_interpretation_raw,update,FALSE,
v1.0.0,v1.1.0,nitrofurantoin_interpretation,nitrofurantoin_interpretation,update,FALSE,
v1.0.0,v1.1.0,moxifloxacin_mic,moxifloxacin_mic,update,FALSE,
v1.0.0,v1.1.0,moxifloxacin_interpretation_raw,moxifloxacin_interpretation_raw,update,FALSE,
v1.0.0,v1.1.0,moxifloxacin_interpretation,moxifloxacin_interpretation,update,FALSE,
v1.0.0,v1.1.0,rifampicin_mic,rifampicin_mic,update,FALSE,
v1.0.0,v1.1.0,rifampicin_interpretation_raw,rifampicin_interpretation_raw,update,FALSE,
v1.0.0,v1.1.0,rifampicin_interpretation,rifampicin_interpretation,update,FALSE,
v1.0.0,v1.1.0,inducible_clindamycin_resistance_mic,inducible_clindamycin_resistance_mic,update,FALSE,
v1.0.0,v1.1.0,inducible_clindamycin_resistance_interpretation_raw,inducible_clindamycin_resistance_interpretation_raw,update,FALSE,
v1.0.0,v1.1.0,inducible_clindamycin_resistance_interpretation,inducible_clindamycin_resistance_interpretation,update,FALSE,
v1.0.0,v1.1.0,trimethoprim_sulfamethoxazole_mic,trimethoprim_sulfamethoxazole_mic,update,FALSE,
v1.0.0,v1.1.0,trimethoprim_sulfamethoxazole_interpretation_raw,trimethoprim_sulfamethoxazole_interpretation_raw,update,FALSE,
v1.0.0,v1.1.0,trimethoprim_sulfamethoxazole_interpretation,trimethoprim_sulfamethoxazole_interpretation,update,FALSE,
v1.0.0,v1.1.0,erythromycin_mic,erythromycin_mic,update,FALSE,
v1.0.0,v1.1.0,erythromycin_interpretation_raw,erythromycin_interpretation_raw,update,FALSE,
v1.0.0,v1.1.0,erythromycin_interpretation,erythromycin_interpretation,update,FALSE,
v1.0.0,v1.1.0,id_analysis_messages,id_analysis_messages,update,FALSE,
v1.0.0,v1.1.0,comments,comments,update,FALSE,
v1.0.0,v1.1.0,isolate_2,isolate_2,update,FALSE,
v1.0.0,v1.1.0,isolate_status_2,isolate_status_2,update,FALSE,
v1.0.0,v1.1.0,selected_organism_2,selected_organism_2,update,FALSE,
v1.0.0,v1.1.0,mcfarland_2,mcfarland_2,update,FALSE,
